Wallet,Telegram ID,SUM of USDT Allocation before Fees,SUM of USDT Allocation After fees,SUM of Deal Level Profit before fees,SUM of Deal Level profit after fees,Refund Already Done,Balance to be Paid,Next Tranche to be paid,,Don't Touch Column G
0x8edfe21296a9dd81a991b75a8af6342c2d9e77fa,cryptoclubswiss,"2,300","2,070",-163.40,66.60,,,,,
0xcf27ec1d1f03b43b6b1e21af9808bc1566d5c2a0,DJkrupt108,"1,000",900,-32.50,67.50,,,,,
0x7f767233b40bf991fa5317768674ad21bbdca54b,Redkwhite,200,180,59.20,79.20,,,,,
0xa0c06868948d82f0228be64c758f795a3acbf70d,Julietsu,"1,000",900,-19.00,81.00,,,,,
0xc91492ae901fce2e69cfe6dede65b016746ae4dd,sarvan01,"1,700","1,530",-83.60,86.40,,,,,
0x0f190180861875d79b57700747377ddae8bd2570,Vinhdao,"5,000","4,500",-410.00,90.00,,,,,
AdharshO,AdharshO,"5,000","4,650",-257.00,93.00,,,,,
0x3e3c725397c0c11084110947f6c524f093cbdb31,Cryptosaure,"1,500","1,350",-55.50,94.50,,,,,
0xaa40a46f9d3b71179992e59e48e539741f175483,r_o_c_k1,600,540,55.20,115.20,,,,,
0x7f4cfd75873954a5f6d2b56251f6aa14d35472d7,weskelalen,"3,300","2,970",-211.20,118.80,,,,,
0xfbd7837211fc10cbc6c98ba5811db01455b3aec2,MiddleAgedDegen,"24,500","22,050","-2,315.00",135.00,,,,,
0xe5bef182c957cde09ceb70c3566c1e6ea911ff14,onchain_guy,"1,500","1,350",3.00,153.00,,,,,
0x49446ec48967497bfac4b11b8f8c8e20b63b3f6d,Ogun_erd,"15,500","13,950","-1,394.30",155.70,,,,,
0xea90b4e6a3531cedb371ae8fbc0a6b6a1a7ccd06,milanssharma,400,360,118.40,158.40,,,,,
0x5ea617fed16185736c42d3f572c536905fc6ef28,TonyArthur,500,450,125.50,175.50,,,,,
0xaeef90244fa070e0e3e73ac2aac407074923141a,RaedBouafoura,500,450,125.50,175.50,,,,,
0x3ca0a120dace3099d71040d0f08c36515b4b8e96,MXP_Rayo,"2,100","1,890",-28.20,181.80,,,,,
0x218c56f591abc69c40e96a10e7b69c62c2c406ee,Jorge_PF,"1,900","1,710",18.80,208.80,,,,,
0xf7b9e0300ee440c25d8df3321edc53d8200cc634,Web3jalapeno,600,540,150.60,210.60,,,,,
0xba2d66c7778f8d2d03347d9a3a45da7ec855b818,amnaya11,"41,000","36,900","-3,843.50",256.50,,,,,
Surjit,Surjit,"6,028","5,426",-341.48,261.36,,,,,
0xe08d5ea1f08b64d128ed258ef8e9bf1dab25d20c,SupremeFatality,"5,000","4,500",-230.00,270.00,,,,,
0xdf975ee78c0fe59edf9062259a6c8484b2c87507,AusAlex8,"1,000",900,201.50,301.50,,,,,
KariPuji,KariPuji,500,450,265.00,315.00,,,,,
0x5474abf06b08a151dfa2c1ac9c4eb91ad76510ee,crypto2028,"1,000",900,251.00,351.00,,,,,
0x19404fe0ea1baf2f261025fe4b1da1fee367d252,nonpareilgem,"4,000","3,600",-26.50,373.50,,,,,
0x0be6be7f73b267386eabfac4628125c86c850196,Redant7,"2,000","1,800",205.00,405.00,,,,,
0xcfab787c611064457591efc426bf85365b0505fd,Plexiflexi,"1,000",900,345.50,445.50,,,,,
Biswajit,Biswajit,"5,000","4,500",-27.50,472.50,,,,,
0x0abfb23c84265b546f0e8a2f682ffa78b6e98156,jebos,"7,200","6,480",-230.40,489.60,,,,,
0x7f575706bca4f5ed0ae2b1829721b45873c9d749,Mukeshsahu0702,"1,000",900,462.50,562.50,,,,,
0x15246f0ab34a148fddd6c8ab383979b4bc8b8cac,ADARSHBOI,800,720,497.80,577.80,,,,,
0xc4d2b1a28fa2a019e269079acdb73d174b09a60d,mr_monicle,"23,500","21,150","-1,744.30",605.70,,,,,
0xd29ff4cdb291c4bc9c7db5fbcacd08b51a48b503,ashxgemss,"1,200","1,080",506.40,626.40,,,,,
0x06a82f30e32d7e30638e6018435859853e8e2d5e,itsmeprateek20,"5,000","4,500",166.00,666.00,,,,,
0xa58e911d29b23c6fbfd94d5e822b8e940391a8d2,seeksahib,"19,000","17,100","-1,234.00",666.00,,,,,
0x9df9ae3572cea1dfeaa942efda21260e33ba8485,egma03,"1,000",900,584.00,684.00,,,,,
0x975a84fd2d3b8a554dba7b83b84862152d92e378,uchiha3785,"9,200","8,280",-189.20,730.80,,,,,
0xdf74afb1a98682d0163000beaa91a40b2fb04b5e,obi_coinobi,"2,000","1,800",592.00,792.00,,,,,
0xcc99ab61268c3c5f0e04946d18b5696d1df98b99,pizzerio,"15,000","13,500",-690.00,810.00,,,,,
0x7a5ee74414213611378dbbcc40f64b58c3d2a46b,harsh1906,"4,000","3,600",473.00,873.00,,,,,
Vaibhav,Vaibhav,"9,990","8,991",-55.17,943.83,,,,,
0xe94787de52a262cb579f70b94a8fbb17f822d740,DearDerya,"22,200","19,980","-1,264.20",955.80,,,,,
0x539771b3b1c5cffe6b243eb4413ec814786beab8,clarkeeth,"1,500","1,350",876.00,"1,026.00",,,,,
0x9c32aa8c2c9073f08b7184adccf290350c0c2adf,ED1981,"16,900","15,210",-661.30,"1,028.70",,,,,
0x0c8cf8d1bfe196f59593123b807d101f6f5560de,gjihanda,"2,000","1,800",844.00,"1,044.00",,,,,
0x35af718f553c52fd50d9588bb4f0c52dabc3a7ec,btcninvest,"4,000","3,600",644.00,"1,044.00",,,,,
0xa8affaaa871a9ade0bd2cd70eaee68bb444de87f,rosouza,"1,900","1,710",934.10,"1,124.10",,,,,
0xed01eec66dbbbd05fd43f2b340614dc7b62786ce,aloisbh,"2,200","1,980",928.40,"1,148.40",,,,,
0x68feb44bb2c1f6421bbf35eecb3869b10121cc62,dalimhalla,"1,800","1,620","1,009.80","1,189.80",,,,,
0x3d0d2b7ce092bfdbb02e1ae1e904d16459613776,frenchman6799,"1,100",990,"1,186.90","1,296.90",,,,,
0x0bddf4e169c35b77186c6ce1c987408689c4634d,ikhaled24,"3,300","2,970",976.80,"1,306.80",,,,,
Cryptourist,Cryptourist,"3,750","3,488","1,272.00","1,534.50",,,,,
0x9f4625288fb381f74285ba84230403ce4b8a6c1d,celboz,"4,400","3,960","1,189.00","1,629.00",,,,,
0xf1efda10e9ba6c83f1f09cd083d44ee5ad12e78d,pranav10,"5,700","5,130","1,093.20","1,663.20",,,,,
0x111b46246ba9bf46ef15dca39ab7775897271951,plavika,"5,000","4,500","1,166.80","1,666.80",,,,,
0x0766053f1db632a0b29c5cbed33f12ee2875823c,Cem_990,"10,800","9,720",633.06,"1,713.06",,,,,
0xd349c1917ce21fa087caceae73991a790d311e00,InfamousDegen,"10,900","9,810",626.66,"1,716.66",,,,,
0x251d0114fb022c9618df06bae6c91639667d44c9,rompenade,"18,100","16,290",-46.90,"1,763.10",,,,,
0xedddb1e0e35af3479d03a1499cb11a3fcc5fcb28,therealkop,"6,100","5,490","1,374.50","1,984.50",,,,,
0x5a84bed1e932f5aac1fc7088285a2858055b2a15,suprass,"41,700","37,530","-2,138.70","2,031.30",,,,,
0x6890bbb9137a3ad0fd0f337c952140200aabbcf7,OrderTHC,"6,000","5,400","1,506.00","2,106.00",,,,,
0x95075d42bac3e8c080c0937a0f524ca28bdcda33,the_zmb,"5,800","5,220","1,716.80","2,296.80",,,,,
0xf5d7cf833d229ac4ba99b02088d32a028a3a7a17,dubbelup,"20,000","18,000",340.00,"2,340.00",,,,,
0x80ab692b9c542fa2d34c638d2672f5d3d0eedc20,mahabirblue,"23,000","20,700",67.00,"2,367.00",,,,,
0x33d8c2a5f0be3c6f1fff099dbad2e71f6f4c0367,bcawer,"3,500","3,150","2,044.00","2,394.00",,,,,
0x1429ae34844b7dc55e33817f8b42085b49afe453,smeIIy,"18,300","16,470",626.10,"2,456.10",,,,,
0xe3d5e3a0189c739c5a72a6de2c5fc3858fe65b9c,suleman75,"3,300","2,970","2,224.20","2,554.20",,,,,
0x200998f1c6bb56b100752c9334dd445c7d0740c3,bthdbitcoin,"7,900","7,110","1,787.60","2,577.60",,,,,
0xc0d3a8d939d8653f0fd8fe7a0646dd3884293466,Darkec,"31,500","28,350",-468.00,"2,682.00",,,,,
0x9b08cf4caaa21fba29f780a04fcfebba6f926f54,cryptaar0n,"4,000","3,600","2,336.00","2,736.00",,,,,
0x9c1ed1428a5f6375d3505d5e46680d5a1afacb73,maverick_r01,"11,600","10,440","1,587.16","2,747.16",,,,,
0x868255d70a046207bfe85b4650b932c69a10eda3,pietrus914,"7,000","6,300","2,072.00","2,772.00",,,,,
0xab66de525dced311d3669fc8390c0298ef12f5d9,Jackpotnl,"80,800","73,920","-4,097.50","2,782.50",,,,,
0xf357f1e26626c416708461e1af99c45c9a5afe6a,CryptoCow8,"14,600","13,140","1,428.10","2,888.10",,,,,
0x4d8567ea5aff58fad3f05aac49b06d2c64c97a10,kkrglyt114,"20,600","18,540",916.30,"2,976.30",,,,,
EranEl,EranEl,"30,000","28,500","1,492.50","2,992.50",,,,,
0x93b3e40bc9ed7a732dcba065b89cc8a739b00749,LeonWong_ETH,"10,300","9,270","1,977.80","3,007.80",,,,,
0x5c3bf81a3fcc98aea20a6be4234d9e730bcc1d16,raykobg,"32,700","29,430",-68.70,"3,201.30",,,,,
0xa7729508b70b3b6fae9b233e32995ee785fcaec5,cryptokamelion,"13,700","12,330","1,937.50","3,307.50",,,,,
0x50e20d00f4d6d0203a3a4c50eac893fa8c1097bb,nimesh2000,"25,100","22,590",856.90,"3,366.90",,,,,
Ayub,Ayub,"108,752","97,877","-7,161.32","3,713.90",,,,,
0x0cdc902f4448b51289398261db41e8adc99be955,awesomeprincepsII,"200,000","186,000","-10,280.00","3,720.00",,,,,
0x9788a4504e05aba7fa1950477bd12ffe572bca49,alia183,"5,400","4,860","3,414.54","3,954.54",,,,,
0xc81a307846a918dc40972c5573ef8a544649026a,ahujarajat261,"10,000","9,000","2,960.00","3,960.00",,,,,
0x7f57c5af045568c67ef7cbfc5c047bf21d999393,topgun80,"64,000","57,600","-2,329.48","4,070.52",,,,,
0x8f785670f5b4b270e05c2c6b908b0fd1964eae3e,SamiuLt2,"16,600","14,940","3,785.90","5,445.90",,,,,
0x15154105ece83fe27c6c0384215060f0c216bbde,WarpCipher,"45,000","40,500","1,332.00","5,832.00",,,,,
0x8d5ba2b764356ddc9997fed94dcf83367e8a10a2,burekmaker,"39,000","35,100","1,935.60","5,835.60",,,,,
0x2899e8263097f66c82d4ba0d5202c9c43d0d6908,CivilianGuy,"12,600","11,340","5,736.60","6,996.60",,,,,
0x10e06bc8706a7946ada25c200e01b8fcee739933,Rkay70110,"168,400","151,560","-8,893.00","7,947.00","10,000",,,,
0x442f2aae5e0e0baa73386d090a3e00500abb4c3d,cosmingeorges,"344,556","317,106","-19,418.40","8,031.60",,,,,
0x61b0fa9c2d0b4f23176ed89a89c2b6d1c1635dea,rocketki,"41,900","37,710","4,765.40","8,955.40",,,,,
0x12fbe87ca2674036a9d5d6cf2593043efbee1a6c,mtcrypt0,"10,000","9,000","10,790.00","11,790.00",,,,,
0x19074c9d3186f7b70d684252989d5debab88235a,raulcor,"45,500","40,950","7,772.80","12,322.80",,,,,
0x2561a222dd48539a18b9e4dd31fb11e897fa1d86,Thiagomoour,"436,000","397,080","-24,054.70","14,865.30",,,,,
0x916679b15669f90c74946821a5414d376d9ddb54,RaAres,"50,000","45,000","14,800.00","19,800.00",,,,,
0x2717954bf63051556664429c2bf85d185a937204,S_U_N_T_Z_U,"97,000","87,300","10,622.00","20,322.00",,,,,
0x741930644e1db284e88318ba78f95b5b1ab9abc4,Maheshkumar_selvaraj,"58,945","54,586","16,797.42","21,156.92",,,,,
0xc0ac59acc703b8a5fa79d274230eb87b3332cbea,sonho286,"66,000","59,400","15,181.45","22,109.22",,,,,
0x6a30d627c278ac3137686c18d9a785adc273ebed,firefox54,"83,000","74,700","16,955.80","25,255.80",,,,,
Degen,Degen,"266,718","251,240","11,016.40","26,494.40",,,,,
Simbaaa4,Simbaaa4,"427,200","400,500","1,335.00","28,035.00",,,,,
0x8eda3fa7c475ec24376a83e4f034b2d1acf95829,snakeshitfakeshit,"103,400","93,060","17,853.40","28,193.40",,,,,
0x6e151e7d2799f4eb46c062ca200e66e21d0f1ee7,iamyenox,"150,000","135,000","13,800.00","28,800.00",,,,,
KOL Capital,KOL Capital,"88,000","88,000","34,320.00","34,320.00",,,,,
0x54dc6782d6fc5fc05f8486d365186ff25cc44ba7,bonushark,"30,000","27,000","32,370.00","35,370.00",,,,,
0xad58eef2df02a7fb35d65552a14aea2fb5a2a993,nodoma,"123,300","110,970","23,174.10","35,504.10",,,,,
0x19e770b6027fbd133f7fce1fb4e2047d105b7ad6,steadyladscapital,"100,000","90,000","29,600.00","39,600.00",,,,,
0xd3daa5f0d96f806a369b2adb1c14b93ce3e73dc6,biso71,"313,000","281,700","12,845.00","44,145.00",,,,,
0x3a336ac39a830bf5c11985c8bbc14168d4eeed95,pangpangcrypto,"120,737","111,837","42,702.08","51,602.08",,,,,
0xd868ea7cf6e655491cafa944e6703f081468b162,crypto_scalper,"210,000","189,000","45,097.80","66,097.80",,,,,
0xf6dfcd838cb7d9a46e9523b44d406992db78995c,realsc0t,"170,400","153,360","56,245.20","73,285.20",,,,,
ICO_Labs_CEO,ICO_Labs_CEO,"200,000","184,000","76,000.00","92,000.00",,,,,
Knights Capital,Knights Capital,"315,000","299,250","115,920.00","131,670.00",,,,,
Evan Luthra,Evan Luthra,"2,620,000","2,534,250","107,180.00","192,930.00",,,,,
Terranova,Terranova,"827,000","777,380","145,911.28","195,531.28",,,,,
Acquanow,Acquanow,"1,750,000","1,627,500","264,380.00","386,880.00",,,,,
Rebel,Rebel,"1,594,747","1,525,000","566,450.50","657,933.00",,,,,
Grand Total,,"89,687,063","83,770,636","-26,878,830.79","-20,964,126.88","2,724,126",,,,
,,,,,,,,,,
,,,,,,,,"-2,095,830.97",,
,,,,,,,"-20,711,369.05",,,
